group	x	y
2	58.3916585365854	6.816
3	33.3967317073171	7.7
5	66.1000731707317	5.329
6	68.4093902439025	3.788
7	35.391512195122	7.422
8	65.7409512195122	3.051
10	70.0458536585366	2.662
11	70.819512195122	2.881
12	67.699	3.625
13	63.2672682926829	5.21
14	63.8224634146342	3.367
15	67.174243902439	3.807
16	49.832243902439	6.894
17	70.7063414634146	2.53
18	38.8508780487805	6.493
19	71.2234146341464	2.03
20	59.833512195122	7.101
21	43.0675853658537	6.801
22	37.5101219512195	6.588
24	65.362	5.918
25	44.5239024390244	6.586
26	57.059243902439	5.658
27	65.2869512195122	3.893
28	38.8856585365854	6.67
29	52.6327073170732	6.698
30	69.6619756097561	2.29
31	64.0121707317073	6.379
32	72.0043902439024	2.749
33	42.4744878048781	6.111
34	39.273756097561	5.945
35	51.8817317073171	6.138
36	72.3356097560976	2.472
37	41.6504878048781	7.757
38	59.8456097560976	4.799
39	44.158512195122	6.043
40	54.2011219512195	5.914
41	59.4480731707317	6.422
42	64.8801463414634	6.328
43	67.4373658536585	4.54
44	50.1907804878049	6.99
46	71.4527804878049	3.01
47	70.3848780487805	2.02
48	70.5085609756098	2.53
49	41.3787804878049	7.685
50	72.4441463414634	2.615
52	55.9543170731707	6.904
53	50.4543414634146	7.39
54	56.2207804878049	6.592
55	69.7390975609756	1.92
56	48.5550975609756	6.327
57	41.6175609756098	6.733
58	71.0551219512195	2.912
59	41.6514634146342	6.881
60	69.4770731707317	2.324
61	58.4217317073171	5.278
62	59.9815853658537	6.9
64	70.9609756097561	2.8
65	43.1694878048781	4.42
66	71.5731707317073	2.783
67	63.7150975609756	5.3
68	65.8107073170732	2.737
69	47.5802195121951	6.937
71	35.3063170731707	5.884
72	32.9195365853659	6.726
73	38.5315853658537	5.619
74	70.5771463414634	2.376
75	49.1869512195122	6.36
76	64.1190243902439	5.187
77	36.1298780487805	5.045
78	54.6652195121951	6.139
79	69.9614878048781	4.246
80	50.1205853658537	7.435
81	67.9763170731707	2.141
82	45.3738536585366	6.109
83	69.8224390243902	1.89
84	49.258243902439	5.599
85	70.6414146341464	3.954
86	72.2856097560976	3.802
88	46.4716341463415	5.747
89	54.7395853658537	7.188
90	48.8555609756098	6.792
91	73.3004878048781	3.578
92	70.9260975609756	2.625
93	71.2993414634146	2.475
94	66.9498292682927	5.821
95	58.0680975609756	8.053
96	70.9865853658537	1.58
97	49.9816829268293	8.126
98	58.7193414634146	5.193
99	45.2554146341463	6.278
101	45.8439024390244	7.027
103	58.5648048780488	3.876
104	57.6582195121951	4.987
106	64.949	7.419
108	60.7795609756098	3.918
109	45.2157317073171	5.974
110	63.4799268292683	5.475
111	61.2557317073171	6.607
113	60.3497804878049	4.849
114	39.8434390243903	6.552
115	48.273	5.801
116	71.520243902439	2.22
117	69.5537073170732	2.34
118	70.7073170731707	1.76
119	49.6000243902439	7.399
120	49.5425365853659	7.129
122	63.9605853658537	2.801
123	65.9736341463415	2.464
125	42.2947317073171	7.304
127	64.2841463414634	3.485
128	32.2978048780488	6.838
129	46.9522682926829	6.129
130	53.4740975609756	7.599
131	67.9424390243903	3.261
133	44.4654390243903	6.798
134	69.3663658536586	2.326
135	62.6484878048781	5.187
136	41.1993414634146	7.218
137	39.0900487804878	7.139
138	59.7742195121951	6.773
139	62.2650487804878	5.57
140	37.5436829268293	6.602
141	50.3649268292683	6.263
142	61.2341463414634	5.385
143	38.0695609756098	7.26
144	40.7417804878049	6.342
145	50.8933414634146	6.981
146	73.5129268292683	2.903
147	73.9953658536585	2.893
148	40.7950731707317	6.089
149	71.1243902439025	3.41
150	46.6986585365854	7.277
151	63.5538292682927	5.755
152	50.6550243902439	6.684
153	58.7184634146342	6.357
154	42.8795609756098	6.244
155	59.6217804878049	6.689
156	50.6504634146342	6.6
157	69.8268292682927	2.34
158	70.3451951219512	3.703
160	65.5266829268293	3.052
162	64.7502926829268	6.276
163	63.6235609756098	6.987
164	67.4728048780488	1.9
166	68.6316585365854	2.1
167	43.7564634146341	8.111
168	48.9463658536585	7.262
169	52.3817073170732	6.47
171	43.5700243902439	6.598
172	74.0785365853659	2.367
173	67.2559512195122	4.498
174	69.0121951219512	2.32
175	70.5327073170732	2.66
176	33.3124878048781	6.007
178	39.7147317073171	7.142
179	38.4017073170732	7.257
180	61.8726829268293	6.182
182	53.7661463414634	6.371
183	55.0123170731707	6.571
185	56.9949756097561	7.569
186	46.0528048780488	6.822
188	42.5374146341463	6.366
189	42.9909756097561	6.851
190	58.1445365853659	6.084
191	58.6234146341463	6.602
192	36.8947804878049	6.268
193	56.9198048780488	6.545
194	51.273	7.054
195	63.5183170731707	6.795
196	48.7920975609756	5.828
197	65.0429756097561	4.164
199	45.2972926829268	6.795
200	70.8441219512195	2.02
201	47.329756097561	7.106
202	70.2121951219512	2.721
203	68.5403170731707	2.831
204	61.3627317073171	6.707
205	58.5920243902439	6.632
206	61.8398780487805	6.203
207	66.0325853658537	5.429
208	47.2208048780488	7.428
209	50.0831219512195	6.626
210	52.969512195122	6.798
211	39.3488292682927	7.447
212	51.3630243902439	5.892
213	47.282756097561	7.338
214	53.6277073170732	7.391
