group	x	y
2	65.5626341463415	6.146
3	36.8107317073171	7.693
5	68.0722682926829	4.507
6	70.5239756097561	2.846
7	38.6156585365854	7.192
8	67.7132682926829	3.264
10	70.9624390243903	1.95
11	72.2360975609756	2.397
12	70.4652926829268	2.552
13	65.2435853658537	4.084
14	68.1404634146342	2.493
15	69.9716097560976	2.513
16	40.787756097561	6.877
17	71.9858536585366	1.83
18	43.0833658536585	6.807
19	71.2080487804878	2.29
20	66.8015609756098	5.716
21	44.4880487804878	6.823
22	42.4575853658537	6.896
24	68.6580731707317	5.555
25	47.6000731707317	6.31
26	60.0944390243902	4.585
27	66.6439512195122	3.33
28	42.6708780487805	6.69
29	56.8957317073171	6.512
30	70.8837317073171	2.21
31	67.8458048780488	6.287
32	73.2375609756098	1.837
33	44.9674390243902	6.333
34	45.0796585365854	5.951
35	54.7000975609756	6.321
36	74.2870731707317	1.731
37	47.1681219512195	7.934
38	64.743	3.33
39	48.2146097560976	6.343
40	65.3712682926829	4.16
41	62.2693902439024	4.782
42	68.9766585365854	4.105
43	71.5319756097561	3.127
44	55.8353414634146	6.818
46	73.4875609756098	2.393
47	70.0865853658537	2.46
48	71.1411219512195	1.51
49	45.0016829268293	7.068
50	73.8082926829268	1.897
52	60.5663902439024	5.383
53	55.509512195122	7.364
54	59.5683902439024	5.838
55	69.8793170731707	2.1
56	52.5810975609756	5.633
57	44.3559024390244	6.505
58	72.969756097561	2.866
59	44.0164634146342	6.78
60	71.1348780487805	1.625
61	61.2226341463415	4.106
62	63.4265853658537	6.77
64	72.6048780487805	2.18
65	49.8903902439024	4.976
66	72.5243902439024	1.92
67	64.5185853658537	4.479
68	68.3911219512195	2.537
69	50.7479024390244	6.855
71	42.1739512195122	6.262
72	35.7712682926829	6.872
73	40.9469024390244	5.675
74	72.7565609756098	2.39
75	54.6724390243903	6.201
76	67.4224390243903	3.917
77	38.1568048780488	6.993
78	57.7275609756098	4.595
79	72.6121951219512	2.967
80	54.9800487804878	6.935
81	69.8752195121951	1.976
82	48.5021951219512	5.615
83	69.2480487804878	2.27
84	54.3071707317073	5.152
85	71.4032926829268	3.617
86	71.6617073170732	3.626
88	51.8961463414634	5.156
89	60.3228780487805	7.072
90	54.5114146341463	6.209
91	74.5117073170732	2.66
92	72.7343902439025	2.331
93	72.1773658536585	1.735
94	69.1494634146341	4.685
95	63.6753902439024	7.675
96	74.3939024390244	2.05
97	54.4921463414634	7.905
98	61.3053414634146	4.492
99	36.0111951219512	5.075
101	49.5707317073171	7.052
103	64.5797317073171	3.326
104	63.5926829268293	3.81
106	68.423512195122	6.617
108	63.1935609756098	3.32
109	46.9683170731707	6.029
110	65.690756097561	4.634
111	65.641243902439	5.571
113	65.0226829268293	3.87
114	42.7902682926829	6.849
115	50.2839512195122	5.78
116	71.2441463414634	2.21
117	70.4477804878049	1.55
118	69.7409756097561	1.97
119	54.2004878048781	7.543
120	53.538243902439	6.602
122	65.0157317073171	2.503
123	71.3997804878049	2.373
125	45.4849024390244	7.269
127	68.2669024390244	2.714
128	36.6154390243902	6.951
129	52.585243902439	5.617
130	57.0445853658537	7.294
131	71.1824146341463	1.568
133	49.6409756097561	6.713
134	71.4709268292683	1.64
135	64.0200731707317	3.341
136	47.0744390243903	7.04
137	42.2147804878049	7.457
138	63.373756097561	6.164
139	65.4375853658537	4.334
140	41.1261463414634	6.564
141	54.646	6.642
142	64.8243902439024	3.8028571429
143	38.6809756097561	7.554
144	43.918512195122	6.669
145	55.9833902439024	6.678
146	74.5368292682927	1.773
147	74.7536585365854	2.137
148	44.778487804878	6.011
149	71.9243902439024	2.57
150	54.585243902439	7.617
151	67.2090243902439	4.662
152	56.3939512195122	5.828
153	61.3984146341463	4.841
154	48.6373658536585	6.041
155	61.7701219512195	5.824
156	55.4466829268293	6.611
157	71.1170731707317	2.26
158	72.7680731707317	2.908
160	68.019512195122	2.599
162	66.0327804878049	5.267
163	68.5381707317073	6.595
164	69.499756097561	2.71
166	68.320243902439	2
167	44.6718048780488	8.219
168	56.4452682926829	7.312
169	56.5105609756098	7.248
171	46.7866829268293	6.587
172	74.9804878048781	1.888
173	69.8854634146341	2.359
174	70.1609756097561	2.211
175	70.1782926829268	2.61
176	37.8687804878049	5.713
178	42.7781463414634	7.494
179	41.2695121951219	7.084
180	64.3588048780488	4.945
182	57.3118048780488	6.534
183	57.2321219512195	5.817
185	62.7805609756098	7.51
186	50.3673902439024	6.84
188	45.2998780487805	6.652
189	47.2973902439024	7.254
190	61.6651951219512	4.721
191	61.0851951219512	6.572
192	36.6681463414634	5.037
193	59.3378048780488	5.939
194	56.8168536585366	6.068
195	66.0660243902439	5.449
196	52.2582926829268	5.134
197	65.9692926829268	3.417
199	48.3938048780488	6.755
200	69.2560243902439	2.04
201	51.0112195121951	7.1
202	71.9560975609756	1.835
203	68.9193170731707	2.993
204	63.7724390243902	6.119
205	62.3928536585366	5.197
206	65.7766341463415	4.779
207	69.3911707317073	4.802
208	48.8243902439024	6.807
209	54.8786097560976	5.999
210	56.969512195122	5.402
211	42.5039024390244	7.922
212	54.2159024390244	5.335
213	50.7141707317073	7.444
214	56.3142682926829	7.41
