group	x	y
2	76.0384390243903	1.906
3	47.2053170731707	6.7
5	76.4734146341464	1.635
6	73.3278292682927	1.731
7	49.4352926829268	5.898
8	75.1149756097561	2.254
10	79.9829268292683	1.38
11	81.2926829268293	1.931
12	74.5282926829268	1.74
13	69.7486585365854	1.97
14	74.9686097560976	1.179
15	76.1293658536585	1.518
16	67.6666585365854	2.427
17	79.7829268292683	1.82
18	53.4769512195122	5.961
19	72.6634146341463	1.42
20	74.6312926829268	2.609
21	48.5466341463415	4.736
22	54.4307317073171	5.511
23	78.8614390243903	1.7568
24	77.5241951219512	2.119
25	65.3477317073171	3.551
26	72.1099512195122	1.944
27	74.3654390243903	1.876
28	65.7590975609756	2.668
29	52.0689512195122	2.91
30	70.2034146341464	1.37
31	75.1118536585366	2.971
32	80.8043902439024	1.6589
33	47.3492926829268	6.152
34	45.4825365853659	4.903
35	55.7704146341463	4.665
36	81.7414634146342	1.46
37	52.7258780487805	4.691
38	78.5342682926829	1.904
39	49.8151707317073	4.696
40	72.6125853658537	1.643
41	72.7537804878049	2.454
42	78.8214146341464	1.954
43	78.285243902439	1.52
44	73.0108536585366	2.659
45	75.3634146341464	2
46	78.8579024390244	1.503
47	76.7243902439025	1.44
48	79.5341463414634	1.37
49	56.3565365853659	4.005
50	78.1951219512195	1.84
52	72.5044634146342	2.686
53	72.1509024390244	2.383
54	75.0049512195122	2.599
55	72.8146341463415	1.63
56	72.1922195121951	2.877
57	59.6392195121951	4.732
58	80.8731707317073	1.39
59	56.7239268292683	4.703
60	79.2634146341464	1.83
61	68.8316341463415	2.774
62	68.2274878048781	3.661
64	80.8146341463415	1.98
65	60.8991463414634	3.386
66	79.4487804878049	1.9
67	75.146756097561	2.301
68	72.8413414634146	1.571
69	62.300243902439	4.352
70	68.4390243902439	2.23
71	57.2200487804878	5.133
72	52.1885609756098	5.483
73	49.9526341463415	5.393
74	79.4390243902439	1.41
75	70.1250487804878	4.199
76	75.4598292682927	2.556
77	46.6426829268293	5.303
78	68.3481707317073	2.34
79	82.3268292682927	1.028
80	71.9589024390244	3.339
81	75.7056097560976	1.4
82	60.6877317073171	3.58
83	73.1512195121951	1.32
84	67.7095853658537	2.21
85	79.0414634146342	2.01
86	85.1146341463415	2.9
88	64.0685365853659	2.742
89	67.8640731707317	4.887
90	71.9346341463415	1.759
91	81.4536585365854	2.09
92	81.2853658536585	1.37
93	79.300756097561	1.421
94	72.0408048780488	2.414
95	72.8869268292683	3.8
96	82.5070731707317	1.34
97	54.3860243902439	4.83
98	67.8463414634146	2.8
99	61.0645853658537	2.84
101	59.53	5.112
103	68.3409268292683	2.041
104	79.3495121951219	1.25
105	69.1824390243903	2.431
106	74.2799024390244	2.272
108	66.5048780487805	2.5
109	65.6595609756098	3.057
110	71.8628536585366	1.865
111	73.7232195121951	2.026
113	74.3120731707317	2.35
114	53.8888536585366	5.447
115	45.2150243902439	3.405
116	70.9	1.35
117	79.3829268292683	1.61
118	71.019512195122	1.41
119	74.1029268292683	2.751
120	71.0191219512195	2.373
122	68.1239024390244	1.488
123	73.9695365853658	1.7
125	65.3755609756098	4.87
127	74.0906097560976	1.462
128	49.710756097561	6.487
129	63.4181707317073	2.08
130	67.0575609756098	2.414
131	80.0226829268293	0.971
133	57.4702682926829	4.739
134	79.4439024390244	1.37
135	72.5707317073171	1.66
136	75.3870243902439	1.938
137	50.8623170731707	5.998
138	75.9971463414634	2.424
139	73.3590487804878	2.741
140	48.5605853658537	5.157
141	60.2232682926829	3.436
142	75.9463414634146	2.2
143	52.8181463414634	7.213
144	49.9994878048781	5.63
145	72.7593902439024	2.759
146	80.0975609756098	1.72
147	80.3951219512195	1.9
148	66.9660975609756	3.034
149	80.1512195121951	2.11
150	73.1088780487805	2.511
151	75.4594878048781	2.576
152	73.0503902439024	2.613
153	74.4788780487805	2.176
154	61.3239024390244	4.122
155	67.7800975609756	3.325
156	64.5025365853659	3.648
157	75.2439024390244	1.31
158	78.4258536585366	1.6505
159	72.0935853658537	4.669
160	78.3219512195122	1.33
162	71.6586585365854	3.122
163	77.6044390243902	2.483
164	72.5658536585366	1.3
165	73.3829268292683	1.38
166	67.4975609756098	1.41
167	53.6597317073171	5.442
168	73.1631219512195	3.049
169	66.2837804878049	4.412
170	73.1926829268293	2.24
171	60.1786097560976	4.664
172	80.9	1.88
173	80.4414634146342	1.29
174	78.5609756097561	1.38
175	74.2073170731707	1.25
176	45.7958780487805	5.252
178	57.9872195121951	5.052
179	50.2111707317073	6.413
180	69.4684146341464	2.432
182	63.6389512195122	3.903
183	71.1041707317073	2.349
184	74.5439024390244	1.5
185	75.2587804878049	3.116
186	46.769512195122	3.613
188	48.3685853658537	6.249
189	55.6261951219512	4.354
190	73.4659024390244	1.629
191	66.3237804878049	3.477
192	60.6236585365854	5.7
193	64.5983170731707	2.523
194	74.2024390243903	2.04
195	71.7380487804878	4.059
196	72.8106585365854	2.145
197	69.0661463414634	1.629
199	54.942512195122	5.589
200	68.2221951219512	1.345
201	51.7296829268293	6.425
202	77.8390243902439	2.122
203	75.8551219512195	2.02
204	67.4112926829268	2.55
205	71.5154634146341	2.131
206	73.5624390243902	2.58
207	78.7943902439025	1.9149
208	74.1653414634146	1.878
209	69.9446585365854	4.03
210	71.5563658536585	4.043
211	63.6653414634146	5.524
212	51.0036585365854	2.58
213	46.1976341463415	6.182
214	45.7970731707317	3.491
