group	x	y
5815	75.1463414634146	1.924
5815	75.3878048780488	1.84
5815	75.6292682926829	1.923
5815	75.8707317073171	1.868
5815	76.1517073170732	1.845
5816	71.6538292682927	3.906
5816	71.9543658536585	3.843
5816	72.2489024390244	3.794
5816	72.5384390243903	3.755
5816	72.8234878048781	3.715
5817	48.2511951219512	6.758
5817	50.6716097560976	6.802
5817	52.4350243902439	6.711
5817	53.5709024390244	6.523
5817	54.2961463414634	6.297
5818	67.7998536585366	2.602
5818	68.0592682926829	2.625
5818	68.3131463414634	2.639
5818	68.5594878048781	2.629
5818	68.7973170731707	2.594
5819	63.8533414634146	3.755
5819	64.1199756097561	3.693
5819	64.3790975609756	3.629
5819	64.6297073170732	3.568
5819	64.8732926829268	3.512
5820	66.5583414634146	3.79
5820	67.1023414634146	3.745
5820	67.5615365853659	3.698
5820	67.9504634146342	3.644
5820	68.3041219512195	3.581
5821	70.2585365853659	3.088
5821	70.5355365853659	3.076
5821	70.8075365853659	3.079
5821	71.0755365853659	3.092
5821	71.3375365853659	3.108
5822	75.2756097560976	1.722
5822	76.0292682926829	1.559
5822	76.4341463414634	1.491
5822	76.6853658536585	1.367
5822	76.8829268292683	1.311
5823	59.0631219512195	4.028
5823	59.5306341463415	3.887
5823	59.9866585365854	3.745
5823	60.4311951219512	3.606
5823	60.8652195121951	3.472
5824	76.9614634146342	1.8
5824	77.3653658536585	1.81
5824	77.650487804878	1.76
5824	78.0646341463415	1.72
5824	78.4836585365854	1.69
5825	54.6951219512195	4.4
5826	68.8146097560976	2.807
5826	69.159243902439	2.779
5826	69.4930731707317	2.716
5826	69.8172926829268	2.633
5826	70.1148048780488	2.55
5827	67.2392682926829	2.08
5827	67.8860975609756	1.96
5827	68.5329268292683	1.67
5827	69.1710975609756	1.6
5827	69.8092682926829	1.55
5828	49.9567073170732	6.363
5828	50.4327804878049	6.369
5828	50.9574146341463	6.361
5828	51.5365609756098	6.342
5828	52.1676829268293	6.313
5829	74.1765853658537	1.966
5829	74.4732926829268	2.021
5829	74.7650243902439	2.04
5829	75.050756097561	2.019
5829	75.3310243902439	1.966
5830	68.2741951219512	3.702
5830	68.550512195122	3.679
5830	68.8198536585366	3.656
5830	69.0827073170732	3.63
5830	69.3375853658537	3.604
5831	72.1414634146341	5.9
5832	65.4535853658537	5.894
5832	65.5395853658537	5.752
5832	65.6365853658537	5.6
5832	65.7455853658537	5.446
5832	65.8585853658537	5.299
5833	58.019243902439	5.707
5833	58.4	5.547
5833	58.826	5.376
5833	59.2624390243902	5.181
5833	59.6711707317073	4.953
5834	55.3321219512195	4.248
5834	55.4036341463415	4.153
5834	55.5146585365854	4.056
5834	55.6961707317073	3.95
5834	55.9621951219512	3.836
5835	68.4666666666585	3.0933333333
5835	68.6162601626098	3.0466666667
5835	68.7658536585366	3
5835	69.4134146341463	3.025
5835	70.0609756097561	3.05
5836	73.7756097560976	1.92
5836	74.3707317073171	1.93
5836	73.8292682926829	1.93
5836	74.1219512195122	1.96
5836	74.1780487804878	2.03
5839	54.4456341463415	5.415
5839	54.7004390243902	5.312
5839	54.8522682926829	5.21
5839	54.9490731707317	5.11
5839	55.0516097560976	5.018
5840	63.8091219512195	4.883
5840	64.0134634146341	4.795
5840	64.2143414634147	4.712
5840	64.4112195121951	4.632
5840	64.6036097560976	4.554
5841	61.464512195122	4.827
5841	61.962512195122	4.836
5841	62.463	4.838
5841	62.969	4.832
5841	63.4809756097561	4.82
5842	72.4510487804878	1.608
5842	72.7820975609756	1.615
5842	73.1641463414634	1.614
5842	73.5991219512195	1.433
5842	74.0744146341464	1.621
5843	58.3013902439024	6.431
5843	57.7946829268293	6.349
5843	57.2450487804878	6.278
5843	56.7538536585366	6.211
5843	56.4109756097561	6.139
5844	68.2397073170732	2.859
5844	69.1920487804878	2.707
5844	70.0900487804878	2.571
5844	70.8770731707317	2.451
5844	71.5204146341463	2.346
5845	39.550512195122	5.256
5845	40.812512195122	5.324
5845	41.7819024390244	5.336
5845	42.528243902439	5.308
5845	43.2143414634146	5.271
5846	68.2952926829268	5.385
5846	68.5336585365854	5.266
5846	68.7596585365854	5.128
5846	68.9659024390244	4.989
5846	69.1519268292683	4.864
5848	60.1721219512195	5.356
5848	60.6422682926829	5.282
5848	61.0821951219512	5.209
5848	61.5022195121951	5.141
5848	61.9146341463415	5.078
5849	59.2005365853659	4.813
5849	60.1716829268293	4.622
5849	61.0549024390244	4.432
5849	61.893243902439	4.247
5849	62.7363170731707	4.073
5850	70.7154146341463	3.904
5850	71.076487804878	3.865
5850	71.3975853658537	3.816
5850	71.6373658536586	3.747
5850	71.7749268292683	3.65
5852	70.2919268292683	2.406
5852	69.9390487804878	2.441
5852	69.5044146341464	2.481
5852	69.0312195121951	2.519
5852	68.5769268292683	2.549
5853	72.9685365853659	1.56
5853	73.5275609756098	1.53
5853	73.7451219512195	1.46
5853	74.2229268292683	1.47
5853	74.6692682926829	1.42
5854	65.0080975609756	3.026
5854	65.2259024390244	2.98
5854	65.4277804878049	2.91
5854	65.5413414634147	2.9
5854	65.5259268292683	2.9026
5855	70.4620243902439	2.11
5855	70.5851707317073	2.11
5855	70.9926829268293	2.09
5855	71.549512195122	2.09
5855	70.990243902439	2.03
5856	73.8690243902439	1.56
5856	74.4048780487805	1.591
5856	74.520243902439	1.49
5856	74.7317073170732	1.54
5856	75.3658536585366	1.55
5857	71.2393658536586	1.992
5857	71.5952926829268	1.973
5857	71.7950731707317	1.953
5857	71.6509268292683	1.925
5857	71.0824146341463	1.887
5858	71.3863414634146	2
5858	71.499756097561	1.99
5858	71.2280487804878	1.95
5858	71.7307317073171	1.99
5858	71.5268292682927	1.96
5859	74.0064634146342	1.433
5859	74.2065365853659	1.434
5859	74.3981219512195	1.437
5859	74.5877317073171	1.441
5859	74.7818292682927	1.446
5860	70.2748780487805	1.88
5860	70.2185365853659	1.87
5860	70.8860975609756	1.82
5860	71.4190243902439	1.76
5860	71.470243902439	1.64
5861	75.3154878048781	2.438
5861	75.4959756097561	2.453
5861	75.6729512195122	2.458
5861	75.8459268292683	2.456
5861	76.0153902439024	2.45
5862	70.5914634146341	1.97
5862	70.8375609756098	1.97
5862	71.0463414634146	1.95
5862	70.9973170731707	1.94
5862	71.4456097560976	1.91
5863	74.4204878048781	1.377
5863	74.5621951219512	1.4
5863	74.4275609756098	1.447
5863	74.579756097561	1.48
5863	74.6912195121951	1.5
5864	69.3756097560976	2.16
5864	69.2780487804878	2.17
5864	69.3804878048781	2.12
5864	70.0853658536585	2.17
5864	70.6439024390244	2.26
5866	74.2009756097561	1.74
5866	74.5190243902439	1.7
5866	74.2229268292683	1.64
5866	74.56	1.6
5866	74.5919512195122	1.59
5867	74.8	1.86
5867	75	1.86
5867	75.3	1.86
5867	75.6	1.85
5867	75.8	1.83
5868	69.4941707317073	2.277
5868	69.5999268292683	2.275
5868	69.7340731707317	2.273
5868	69.880512195122	2.269
5868	70.0147073170732	2.26
5869	73.6377073170732	1.33
5869	73.917	1.29
5869	74.1917317073171	1.37
5869	74.4533170731707	1.43
5869	74.6962682926829	1.43
5870	75.2491707317073	1.94
5870	75.514512195122	1.823
5870	75.7699756097561	1.677
5870	76.016	1.615
5870	76.2514878048781	1.5
5872	68.9736585365854	1.73
5872	69.0258536585366	1.73
5872	68.9721951219512	1.83
5872	69.1734146341463	1.83
5872	69.6512195121951	1.81
5873	76.8456097560976	2.24
5873	77.5765853658537	2.08
5873	77.6024390243903	1.93
5873	77.9907317073171	1.93
5873	77.3390243902439	2.05
5874	73.2223902439025	2.759
5874	73.4345853658537	2.589
5874	73.6409024390244	2.5
5874	73.8488048780488	2.45
5874	74.0633170731707	2.31
5876	74.640243902439	1.52
5876	75.389512195122	1.462
5876	75.4953658536585	1.39
5876	75.8107317073171	1.34
5876	76.2251219512195	1.28
5877	67.6621951219512	3.04
5877	68.5365853658537	3.08
5877	68.5365853658537	3.08
5877	68.9134146341463	3.135
5877	69.290243902439	3.19
5878	66.3826829268293	4.4761
5878	66.5978048780488	4.8199
5878	66.8129268292683	4.5635
5878	67.0180487804878	4.4662
5878	67.2131707317073	4.4299
5879	64.0422682926829	4.086
5879	64.4696341463415	4.097
5879	64.8821219512195	4.093
5879	65.254512195122	4.073
5879	65.5676097560976	4.039
5880	69.1190243902439	2.07
5880	69.1629268292683	2.09
5880	69.2914634146342	2.08
5880	70.6224390243903	2.12
5880	70.6929268292683	2.15
5882	70.7778048780488	2.04
5882	70.32	2.09
5882	70.5012195121951	2.1
5882	72.0807317073171	2.14
