group	x	y
1511	70.9117073170732	3.332
1511	70.8809756097561	3.146
1511	70.850243902439	2.977
1511	70.819512195122	2.881
1511	70.8692682926829	2.848
1512	63.9135853658537	6.36
1512	64.4106097560976	6.227
1512	64.8935853658537	6.068
1512	65.362	5.918
1512	65.8169024390244	5.804
1513	43.990512195122	6.316
1513	44.5283902439024	6.316
1513	44.9758536585366	6.306
1513	45.2554146341463	6.278
1513	45.3065853658537	6.229
1514	46.323512195122	5.697
1514	48.5743902439025	5.793
1514	51.2869268292683	5.872
1514	54.2011219512195	5.914
1514	57.0098780487805	5.906
1515	57.2270975609756	5.881
1515	57.6333170731707	5.676
1515	58.0315365853659	5.475
1515	58.4217317073171	5.278
1515	58.8039024390244	5.083
1516	57.5097073170732	6.518
1516	57.8945365853659	6.49
1516	58.2984146341463	6.439
1516	58.7184634146342	6.357
1516	59.1347804878049	6.243
1517	62.707	5.857
1517	63.186243902439	5.67
1517	63.6574146341463	5.439
1517	64.1190243902439	5.187
1517	64.5715853658537	4.939
1518	68.6434390243903	5.051
1518	69.1183658536585	4.833
1518	69.5553902439024	4.551
1518	69.9614878048781	4.246
1518	70.3466097560976	3.959
1519	47.261756097561	5.634
1519	47.9435365853659	5.623
1519	48.6076585365854	5.612
1519	49.258243902439	5.599
1519	49.9034390243903	5.582
1520	69.6580487804878	2.02
1520	70.1324390243903	2.05
1520	70.2019512195122	2.139
1520	70.9865853658537	1.58
1520	71.2765853658537	2.02
1522	56.739243902439	3.588
1522	57.2963658536585	3.653
1522	57.9020731707317	3.756
1522	58.5648048780488	3.876
1522	59.2750487804878	3.984
1523	55.2453902439024	5.574
1523	56.0216341463415	5.357
1523	56.821756097561	5.157
1523	57.6582195121951	4.987
1523	58.5300243902439	4.845
1524	44.5979512195122	5.969
1524	44.8050487804878	5.971
1524	45.0111463414634	5.973
1524	45.2157317073171	5.974
1524	45.4183170731707	5.973
1525	66.5467317073171	4.242
1525	67.0239268292683	3.926
1525	67.4896585365854	3.594
1525	67.9424390243903	3.261
1525	68.3837804878049	2.942
1526	60.8855609756098	6.103
1526	61.3559756097561	5.952
1526	61.8162926829268	5.77
1526	62.2650487804878	5.57
1526	62.7017804878049	5.368
1528	58.7815853658537	6.897
1528	59.1795853658537	6.893
1528	59.5785853658537	6.894
1528	59.9815853658537	6.9
1528	60.3875853658537	6.911
1529	51.352512195122	7.477
1529	52.1263170731707	7.558
1529	52.8291463414634	7.593
1529	53.4740975609756	7.599
1529	54.0829024390244	7.591
1530	44.6325609756098	6.107
1530	45.3634390243902	6.118
1530	46.1428292682927	6.125
1530	46.9522682926829	6.129
1530	47.7588048780488	6.13
1531	59.8878048780488	5.8733333333
1531	60.3365853658537	5.7366666667
1531	60.7853658536585	5.6
1531	61.2341463414634	5.385
1531	61.6829268292683	5.17
1532	71.280487804878	3.989
1532	71.3292682926829	3.733
1532	71.2268292682927	3.54
1532	71.1243902439025	3.41
1532	71.4731707317073	3.354
1535	40.4378780487805	6.275
1535	41.216487804878	6.268
1535	42.0371951219512	6.258
1535	42.8795609756098	6.244
1535	43.717487804878	6.227
1536	58.7292195121951	6.947
1536	59.0301707317073	6.867
1536	59.3278292682927	6.781
1536	59.6217804878049	6.689
1536	59.9100975609756	6.589
1537	51.469512195122	7.216
1537	51.969512195122	7.103
1537	52.469512195122	6.961
1537	52.969512195122	6.798
1537	53.469512195122	6.623
1538	66.7008048780488	5.007
1538	66.9102195121951	4.8525
1538	67.0858048780488	4.698
1538	67.2559512195122	4.498
1538	67.4457317073171	3.946
1539	50.8817073170732	6.385
1539	51.3817073170732	6.394
1539	51.8817073170732	6.419
1539	52.3817073170732	6.47
1539	52.8817073170732	6.549
1540	56.8322926829268	6.157
1540	57.2891951219512	6.151
1540	57.7241463414634	6.129
1540	58.1445365853659	6.084
1540	58.5582682926829	6.009
