group	x	y
10879	81.0414634146342	1.883
10879	81.2926829268293	1.931
10879	81.3951219512195	1.933
10879	81.5439024390244	1.857
10879	81.6951219512195	1.87
10880	77.3806097560976	2.148
10880	77.5241951219512	2.119
10880	77.6622926829268	2.092
10880	77.7979268292683	2.066
10880	77.9320243902439	2.042
10881	60.5283170731707	2.944
10881	61.0645853658537	2.84
10881	61.5808536585366	2.745
10881	62.0721951219512	2.659
10881	62.5362195121951	2.581
10882	72.3897317073171	1.656
10882	72.6125853658537	1.643
10882	72.8353414634146	1.629
10882	73.056512195122	1.614
10882	73.2730975609756	1.598
10883	68.6791951219512	2.816
10883	68.8316341463415	2.774
10883	68.9715853658537	2.735
10883	69.1020243902439	2.7
10883	69.2258292682927	2.668
10884	74.2494146341463	2.209
10884	74.4788780487805	2.176
10884	74.6910975609756	2.145
10884	74.8895853658537	2.116
10884	75.0768780487805	2.09
10885	75.2823902439024	2.591
10885	75.4598292682927	2.556
10885	75.6378048780488	2.524
10885	75.8167804878049	2.496
10885	75.9942682926829	2.47
10886	82.3756097560976	0.984
10886	82.3268292682927	1.028
10886	82.3756097560976	1.064
10886	82.7756097560976	1.055
10886	82.9780487804878	1.127
10887	67.3768292682927	2.246
10887	67.7095853658537	2.21
10887	68.0751463414634	2.176
10887	68.4709756097561	2.145
10887	68.8896585365854	2.117
10888	82.3219512195122	1.32
10888	82.5070731707317	1.34
10888	82.5875609756098	1.37
10888	82.9314634146342	1.37
10888	82.8426829268293	1.39
10890	68.3080243902439	2.042
10890	68.3409268292683	2.041
10890	68.3740975609756	2.038
10890	68.4323902439024	2.032
10890	68.5321463414634	2.022
10891	78.9692682926829	1.123
10891	79.3495121951219	1.25
10891	79.8326829268293	1.192
10891	80.2973170731707	1.149
10891	80.5658536585366	1.226
10892	65.080512195122	3.178
10892	65.6595609756098	3.057
10892	66.1843902439024	2.946
10892	66.651512195122	2.843
10892	67.064	2.747
10893	79.7915853658537	0.926
10893	80.0226829268293	0.971
10893	80.2673414634146	1.015
10893	80.5210487804878	1.056
10893	80.7753170731707	1.092
10894	73.1666097560976	2.784
10894	73.3590487804878	2.741
10894	73.5681219512195	2.702
10894	73.7908048780488	2.666
10894	74.0245609756098	2.635
10896	68.0591707317073	3.74
10896	68.2274878048781	3.661
10896	68.402756097561	3.587
10896	68.5830487804878	3.517
10896	68.7648292682927	3.451
10897	66.5792682926829	2.347
10897	67.0575609756098	2.414
10897	67.486243902439	2.466
