group	x	y
6249	75.6292682926829	1.923
6249	75.8707317073171	1.868
6249	76.1517073170732	1.845
6249	76.4326829268293	1.831
6249	76.7136585365854	1.838
6250	72.2489024390244	3.794
6250	72.5384390243903	3.755
6250	72.8234878048781	3.715
6250	73.1040487804878	3.668
6250	73.3810975609756	3.608
6251	52.4350243902439	6.711
6251	53.5709024390244	6.523
6251	54.2961463414634	6.297
6251	54.7996341463415	6.083
6251	55.1478536585366	5.896
6252	68.3131463414634	2.639
6252	68.5594878048781	2.629
6252	68.7973170731707	2.594
6252	69.0271219512195	2.532
6252	69.2469268292683	2.444
6253	64.3790975609756	3.629
6253	64.6297073170732	3.568
6253	64.8732926829268	3.512
6253	65.1113414634146	3.465
6253	65.3438536585366	3.427
6254	67.5615365853659	3.698
6254	67.9504634146342	3.644
6254	68.3041219512195	3.581
6254	68.6475121951219	3.507
6254	68.9900731707317	3.421
6255	70.8075365853659	3.079
6255	71.0755365853659	3.092
6255	71.3375365853659	3.108
6255	71.5935365853659	3.122
6255	71.8435365853659	3.13
6256	76.4341463414634	1.491
6256	76.6853658536585	1.367
6256	76.8829268292683	1.311
6256	77.0829268292683	1.4
6256	77.0292682926829	1.296
6257	59.9866585365854	3.745
6257	60.4311951219512	3.606
6257	60.8652195121951	3.472
6257	61.2882682926829	3.346
6257	61.7008048780488	3.229
6258	77.650487804878	1.76
6258	78.0646341463415	1.72
6258	78.4836585365854	1.69
6258	78.3992682926829	1.66
6258	78.8180487804878	1.57
6259	54.6951219512195	4.4
6261	69.4930731707317	2.716
6261	69.8172926829268	2.633
6261	70.1148048780488	2.55
6261	70.3551219512195	2.482
6261	70.5028292682927	2.434
6262	68.5329268292683	1.67
6262	69.1710975609756	1.6
6262	69.8092682926829	1.55
6262	70.3343902439024	1.56
6262	70.859512195122	1.58
6263	50.9574146341463	6.361
6263	51.5365609756098	6.342
6263	52.1676829268293	6.313
6263	52.8442682926829	6.274
6263	53.5602682926829	6.222
6264	74.7650243902439	2.04
6264	75.050756097561	2.019
6264	75.3310243902439	1.966
6264	75.6058292682927	1.891
6264	75.8756341463415	1.798
6265	68.8198536585366	3.656
6265	69.0827073170732	3.63
6265	69.3375853658537	3.604
6265	69.5864878048781	3.576
6265	69.8294146341464	3.546
6266	72.1414634146341	5.9
6268	65.6365853658537	5.6
6268	65.7455853658537	5.446
6268	65.8585853658537	5.299
6268	65.9725853658537	5.167
6268	66.0845853658537	5.052
6269	58.826	5.376
6269	59.2624390243902	5.181
6269	59.6711707317073	4.953
6269	60.0257317073171	4.691
6269	60.316756097561	4.402
6270	55.5146585365854	4.056
6270	55.6961707317073	3.95
6270	55.9621951219512	3.836
6270	56.3167073170732	3.712
6270	56.7567073170732	3.581
6271	68.7658536585366	3
6271	69.4134146341463	3.025
6271	70.0609756097561	3.05
6271	70.202439024561	3.0966666667
6271	70.3439024388537	3.1433333333
6272	73.8292682926829	1.93
6272	74.1219512195122	1.96
6272	74.1780487804878	2.03
6272	74.4243902439024	2.1
6272	74.8243902439024	2.12
6275	54.8522682926829	5.21
6275	54.9490731707317	5.11
6275	55.0516097560976	5.018
6275	55.2028048780488	4.934
6275	55.4220243902439	4.861
6276	64.2143414634147	4.712
6276	64.4112195121951	4.632
6276	64.6036097560976	4.554
6276	64.7925365853659	4.476
6276	64.9779512195122	4.397
6277	62.463	4.838
6277	62.969	4.832
6277	63.4809756097561	4.82
6277	63.9989512195122	4.803
6277	64.5194146341463	4.783
6278	73.1641463414634	1.614
6278	73.5991219512195	1.433
6278	74.0744146341464	1.621
6278	74.5734634146341	1.956
6278	75.0827317073171	1.754
6279	57.2450487804878	6.278
6279	56.7538536585366	6.211
6279	56.4109756097561	6.139
6279	56.2772926829268	6.056
6279	56.3777317073171	5.961
6280	70.0900487804878	2.571
6280	70.8770731707317	2.451
6280	71.5204146341463	2.346
6280	72.0009512195122	2.256
6280	72.3136341463415	2.179
6281	41.7819024390244	5.336
6281	42.528243902439	5.308
6281	43.2143414634146	5.271
6281	43.9674146341463	5.256
6281	44.8200487804878	5.273
6282	68.7596585365854	5.128
6282	68.9659024390244	4.989
6282	69.1519268292683	4.864
6282	69.3151951219512	4.763
6282	69.4576829268293	4.691
6284	61.0821951219512	5.209
6284	61.5022195121951	5.141
6284	61.9146341463415	5.078
6284	62.331756097561	5.022
6284	62.7580243902439	4.971
6285	61.0549024390244	4.432
6285	61.893243902439	4.247
6285	62.7363170731707	4.073
6285	63.615756097561	3.908
6285	64.5360975609756	3.752
6286	71.3975853658537	3.816
6286	71.6373658536586	3.747
6286	71.7749268292683	3.65
6286	71.8093658536585	3.527
6286	71.7542195121951	3.38
6288	69.5044146341464	2.481
6288	69.0312195121951	2.519
6288	68.5769268292683	2.549
6288	68.1938536585366	2.566
6288	67.9126097560976	2.565
6289	73.7451219512195	1.46
6289	74.2229268292683	1.47
6289	74.6692682926829	1.42
6289	75.1441463414634	1.43
6289	75.2480487804878	1.45
6290	65.4277804878049	2.91
6290	65.5413414634147	2.9
6290	65.5259268292683	2.9026
6290	65.3691463414634	2.8
6290	65.0892682926829	2.8
6291	70.9926829268293	2.09
6291	71.549512195122	2.09
6291	70.990243902439	2.03
6291	71.3414634146341	2.04
6291	71.5878048780488	2.03
6292	74.520243902439	1.49
6292	74.7317073170732	1.54
6292	75.3658536585366	1.55
6292	75.5658536585366	1.56
6292	75.6326829268293	1.58
6293	71.7950731707317	1.953
6293	71.6509268292683	1.925
6293	71.0824146341463	1.887
6293	70.1033658536585	1.836
6293	68.8140243902439	1.775
6294	71.2280487804878	1.95
6294	71.7307317073171	1.99
6294	71.5268292682927	1.96
6294	71.6043902439024	1.97
6294	71.7224390243903	1.9
6295	74.3981219512195	1.437
6295	74.5877317073171	1.441
6295	74.7818292682927	1.446
6295	74.9854634146342	1.452
6295	75.1985853658537	1.457
6296	70.8860975609756	1.82
6296	71.4190243902439	1.76
6296	71.470243902439	1.64
6296	71.4882926829268	1.79
6296	71.8446341463415	1.63
6297	75.6729512195122	2.458
6297	75.8459268292683	2.456
6297	76.0153902439024	2.45
6297	76.1818292682927	2.442
6297	76.344268292683	2.43
6298	71.0463414634146	1.95
6298	70.9973170731707	1.94
6298	71.4456097560976	1.91
6298	71.6414634146342	1.94
6298	71.6756097560976	1.874
6299	74.4275609756098	1.447
6299	74.579756097561	1.48
6299	74.6912195121951	1.5
6299	74.7717073170732	1.56
6299	74.799756097561	1.62
6300	69.3804878048781	2.12
6300	70.0853658536585	2.17
6300	70.6439024390244	2.26
6300	70.6975609756098	2.26
6300	70.0390243902439	2.21
6302	74.2229268292683	1.64
6302	74.56	1.6
6302	74.5919512195122	1.59
6302	74.5770731707317	1.7
6302	74.7921951219512	1.71
6303	75.3	1.86
6303	75.6	1.85
6303	75.8	1.83
6303	76.1	1.81
6303	76.3487804878049	1.79
6304	69.7340731707317	2.273
6304	69.880512195122	2.269
6304	70.0147073170732	2.26
6304	70.1217073170732	2.243
6304	70.1985609756098	2.217
6305	74.1917317073171	1.37
6305	74.4533170731707	1.43
6305	74.6962682926829	1.43
6305	74.9186097560976	1.46
6305	75.1228780487805	1.42
6306	75.7699756097561	1.677
6306	76.016	1.615
6306	76.2514878048781	1.5
6306	76.4773658536585	1.5
6306	76.6878048780488	1.41
6308	68.9721951219512	1.83
6308	69.1734146341463	1.83
6308	69.6512195121951	1.81
6308	70.0234146341463	1.79
6308	69.4617073170732	1.78
6309	77.6024390243903	1.93
6309	77.9907317073171	1.93
6309	77.3390243902439	2.05
6309	77.0829268292683	2.2
6309	78.1409756097561	2.2
6310	73.6409024390244	2.5
6310	73.8488048780488	2.45
6310	74.0633170731707	2.31
6310	74.2864390243903	2.17
6310	74.5156097560976	2.08
6312	75.4953658536585	1.39
6312	75.8107317073171	1.34
6312	76.2251219512195	1.28
6312	76.4056097560976	1.32
6312	76.8048780487805	1.28
6313	68.5365853658537	3.08
6313	68.9134146341463	3.135
6313	69.290243902439	3.19
6313	68.8487804878049	3.13
6313	68.290243902439	2.82
6314	66.8129268292683	4.5635
6314	67.0180487804878	4.4662
6314	67.2131707317073	4.4299
6314	67.3982926829268	4.2631
6314	67.5785365853659	3.9223
6315	64.8821219512195	4.093
6315	65.254512195122	4.073
6315	65.5676097560976	4.039
6315	65.8097804878049	3.992
6315	67.9073170731707	3.875
6316	69.2914634146342	2.08
6316	70.6224390243903	2.12
6316	70.6929268292683	2.15
6316	70.6153658536585	2.11
6316	70.1553658536586	2.05
6318	70.5012195121951	2.1
6318	72.0807317073171	2.14
6318	71.9346341463415	2.16
6318	71.7621951219512	2.09
6318	71.4253658536585	1.98
6319	73.4333170731707	1.38
6319	73.7366829268293	1.44
6319	74.0328536585366	1.4
6319	74.318512195122	1.51
6319	74.5916829268293	1.52
6320	70.134243902439	2.246
6320	70.3758292682927	2.218
6320	70.6290975609756	2.194
6320	70.8685609756098	2.171
6320	71.0867317073171	2.149
6321	66.1324390243903	2.643
6321	66.5687073170732	2.646
6321	66.9490975609756	2.625
6321	67.2321219512195	2.578
6321	67.3992926829268	2.506
6323	74.3909756097561	2.064
6323	74.563	2.022
6323	74.7598780487805	1.98
6323	74.9750731707317	1.94
6323	75.2006829268293	1.902
6324	76.2846341463415	1.511
6324	76.2704878048781	1.553
6324	76.7051219512195	1.558
6324	76.890243902439	1.55
6324	76.7341463414634	1.55
6325	75.9168292682927	1.68
6325	76.2412195121951	1.71
6325	76.0817073170732	1.8
6325	76.2204878048781	1.84
6325	76.500487804878	1.88
6326	70.5487804878049	2.329
6326	70.8487804878049	2.22
6326	70.8975609756098	2.154
6326	71.3317073170732	2.13
6326	71.0439024390244	2.078
6327	72.8146341463415	1.74
6327	73.2658536585366	1.63
6327	73.6658536585366	1.57
6327	73.7146341463415	1.53
6327	74.2658536585366	1.48
6328	69.7068292682927	2.31
6328	69.4963414634146	2.386
6328	69.2268292682927	2.313
6328	69.3880487804878	2.306
6328	69.5307317073171	2.2
6329	67.8568292682927	2.05
6329	69.389756097561	2.15
6329	69.44	2.22
6329	69.4643902439024	2.12
6329	69.1717073170732	2.01
6332	70.7346341463415	2.26
6332	71.0212195121951	2.2
6332	71.0887804878049	2.14
6332	71.2078048780488	2.13
6332	71.0263414634146	2.07
6333	71.3512195121951	1.71
6333	71.8024390243903	1.67
6333	72.0024390243902	1.65
6333	72.4463414634146	1.63
6333	72.7048780487805	1.52
6334	76.259512195122	1.63
6334	76.5104878048781	1.6
6334	76.7280487804878	1.47
6334	76.7470731707317	1.42
6334	76.8136585365854	1.36
6335	76.6678048780488	1.74
6335	76.9312195121951	1.79
6335	77.0921951219512	1.9
6335	76.9792682926829	1.975
6335	77.7268292682927	2.02
6336	76.7336585365854	1.51
6336	76.8990243902439	1.52
6336	77.1975609756098	1.55
6336	77.2265853658537	1.57
6336	77.4212195121951	1.56
6337	63.2799024390244	5.486
6337	63.3748780487805	5.453
6337	63.3729024390244	5.408
6337	63.2733902439024	5.347
6337	63.0904146341463	5.27
6338	60.1213658536585	3.698
6338	60.755512195122	3.533
6338	61.3601707317073	3.381
6338	61.9408780487805	3.249
6338	62.5041463414634	3.139
6339	62.2463902439024	4.669
6339	62.4244146341464	4.623
6339	62.546512195122	4.572
6339	62.6201219512195	4.513
6339	62.6523170731707	4.44
6340	69.773243902439	2.06
6340	69.9320731707317	2.08
6340	70.4951219512195	2.05
6340	70.4975609756098	2.02
6340	70.5390243902439	1.92
6341	74.6292682926829	1.8
6341	74.9292682926829	1.78
6341	75.280487804878	1.82
6341	75.3804878048781	1.83
6341	75.5829268292683	1.8
6342	66.7763902439024	4.539
6342	66.9336341463415	4.474
6342	66.9942682926829	4.5
6342	66.9611707317073	4.28
6342	66.8472926829268	4.179
6343	73.0082926829268	1.9
6345	70.586512195122	3.093
6345	70.7537073170732	3.073
6345	70.9223902439024	3.056
6345	71.1005365853659	3.037
6345	71.2921707317073	3.016
6346	73.0979756097561	2.332
6346	73.1793658536585	2.32
